"","date","newPresum","newConfirm","newTotal","newDeath"
"1","2020-03-02",0,0,0,0
"2","2020-03-03",0,0,0,0
"3","2020-03-04",0,0,0,0
"4","2020-03-05",1,0,1,0
"5","2020-03-06",5,0,5,0
"6","2020-03-07",5,0,5,0
"7","2020-03-08",15,0,15,0
"8","2020-03-09",13,0,13,0
"9","2020-03-10",51,0,51,0
"10","2020-03-11",-2,5,3,0
"11","2020-03-12",13,0,13,0
"12","2020-03-13",3,12,15,0
"13","2020-03-14",14,1,15,0
"14","2020-03-15",0,26,26,0
"15","2020-03-16",NA,NA,33,0
"16","2020-03-17",NA,NA,21,0
"17","2020-03-18",NA,NA,38,0
"18","2020-03-19",NA,NA,72,0
"19","2020-03-20",NA,NA,85,1
"20","2020-03-21",NA,NA,112,0
"21","2020-03-22",NA,NA,121,4
"22","2020-03-23",NA,NA,131,4
"23","2020-03-24",NA,NA,382,2
"24","2020-03-25",NA,NA,679,4
"25","2020-03-26",NA,NA,579,10
"26","2020-03-27",NA,NA,823,10
"27","2020-03-28",NA,NA,1017,9
"28","2020-03-29",NA,NA,698,4
"29","2020-03-30",NA,NA,797,8
"30","2020-03-31",NA,NA,868,33
"31","2020-04-01",NA,NA,1118,33
"32","2020-04-02",NA,NA,1228,32
"33","2020-04-03",NA,NA,1436,38
"34","2020-04-04",NA,NA,1334,24
"35","2020-04-05",NA,NA,764,15
